Rank;Account;VOMOVREC;VOXOR;VOROOM;VOGAME;VOLAND;VOMARIO;Sum
128;ndkhaivn;0.0;0.0;0.0;0.0;5.46;0.0;5.46
129;allahuh_akbar;1.20;1.28;0.50;2.40;0.0;0.0;5.38
130;ngoantran;0.0;1.87;1.00;0.30;2.10;0.0;5.27
131;huongtrana2k43;0.0;0.0;0.75;2.40;0.0;2.10;5.25
132;minhhuynk;2.70;1.63;0.63;0.0;0.0;0.0;4.96
133;dinh10tin;0.0;1.05;1.12;2.70;0.0;0.0;4.87
134;nguyentamdat;3.0;1.05;0.63;0.0;0.0;0.0;4.68
135;miltonbw;0.0;1.28;1.25;0.0;0.0;2.10;4.63
136;bnguyen;0.0;2.68;0.75;0.90;0.28;0.0;4.61
137;hoangsieunhan;1.80;1.75;0.88;0.0;0.0;0.0;4.42
138;cleaner99;2.10;1.75;0.50;0.0;0.0;0.0;4.35
139;trunghai95;0.0;4.20;0.0;0.0;0.0;0.0;4.20
140;ezigolopa;0.0;1.75;0.0;2.40;0.0;0.0;4.15
141;gau6559;1.80;1.87;0.38;0.0;0.0;0.0;4.04
142;dvknguyen999;0.0;0.0;0.88;3.0;0.14;0.0;4.02
143;cuongnm;0.0;2.10;0.25;0.30;0.28;1.05;3.98
144;middlest;0.0;1.63;1.00;0.0;0.28;1.05;3.96
145;tranvietdu;0.0;1.87;1.12;0.90;0.0;0.0;3.89
146;tsongafan;0.0;2.33;1.25;0.0;0.28;0.0;3.86
147;aanhquan6776;0.0;3.03;0.75;0.0;0.0;0.0;3.78
148;dreamerlaura;0.0;0.0;0.0;2.70;0.0;1.05;3.75
149;lehoangvu15;0.0;0.0;1.50;0.0;0.0;2.10;3.60
150;thanhnhan_776;0.0;1.98;1.12;0.0;0.14;0.0;3.25
151;rinkute99;0.0;0.35;0.0;2.70;0.0;0.0;3.05
152;k28kientq;0.0;0.12;0.50;2.40;0.0;0.0;3.02
153;centaur_d;0.0;1.75;1.25;0.0;0.0;0.0;3.00
154;nghethuat102;0.0;1.75;1.25;0.0;0.0;0.0;3.00
155;danbo3004;0.0;1.63;1.25;0.0;0.0;0.0;2.88
156;takashato;0.0;1.75;1.12;0.0;0.0;0.0;2.87
157;quocbao;0.0;2.22;0.63;0.0;0.0;0.0;2.84
158;alibaba6199;0.0;2.33;0.50;0.0;0.0;0.0;2.83
159;k28antq;0.0;0.12;0.0;2.70;0.0;0.0;2.82
160;ngattaro;0.0;1.05;1.75;0.0;0.0;0.0;2.80
161;nguyenchanhdai;0.0;1.75;1.00;0.0;0.0;0.0;2.75
162;iphone4;0.0;2.10;0.63;0.0;0.0;0.0;2.73
163;duchanhctn99;0.0;0.0;0.0;2.40;0.28;0.0;2.68
164;phuongle0205;0.0;0.0;0.0;2.40;0.28;0.0;2.68
165;lenguyen2204;1.20;0.0;1.12;0.0;0.28;0.0;2.60
166;bqt;0.0;1.75;0.75;0.0;0.0;0.0;2.50
167;dtcong99;0.0;1.75;0.75;0.0;0.0;0.0;2.50
168;canknowit;0.0;2.22;0.25;0.0;0.0;0.0;2.47
169;congtm;0.0;0.0;0.0;2.40;0.0;0.0;2.40
170;vietdh;0.0;0.0;0.0;2.40;0.0;0.0;2.40
171;dat1910qb;0.0;0.0;0.0;2.40;0.0;0.0;2.40
172;tranminhchien;0.0;0.0;0.0;2.40;0.0;0.0;2.40
173;h_1998;0.0;0.0;0.0;2.40;0.0;0.0;2.40
174;bao_sideswipe;2.40;0.0;0.0;0.0;0.0;0.0;2.40
175;mansblacks;0.0;1.63;0.75;0.0;0.0;0.0;2.38
176;diepkun;0.0;1.63;0.75;0.0;0.0;0.0;2.38
177;luadanhvong;0.0;2.22;0.0;0.0;0.0;0.0;2.22
178;lanthuyen;0.0;2.22;0.0;0.0;0.0;0.0;2.22
179;phamvuhai22;0.0;2.22;0.0;0.0;0.0;0.0;2.22
180;hungfws1997;1.80;0.35;0.0;0.0;0.0;0.0;2.15
181;dttproktvn;0.0;0.0;0.0;0.0;0.0;2.10;2.10
182;surfweb;0.0;0.0;0.0;0.0;0.0;2.10;2.10
183;goku085;0.0;0.0;0.0;0.0;0.0;2.10;2.10
184;ptnk021215;2.10;0.0;0.0;0.0;0.0;0.0;2.10
185;thienanh313;0.0;0.0;0.0;2.10;0.0;0.0;2.10
186;bvdung;0.0;0.0;1.12;0.60;0.28;0.0;2.00
